code,title,img,auth,pub
38290346,(한글) 오가와 미메이,http://image.yes24.com/momo/TopCate0001/kepub/L_629298.jpg,오가와 미메이 저 / 일본통문장번역회 역,AlbaLux
38895078,(한글) 은하 철도의 밤 ('은하철도 999' 애니메이션 원작,http://image.yes24.com/momo/TopCate0001/kepub/L_633288.jpg,미야자와 겐지 저 / 이태란 역,AlbaLux
38290241,(한글) 인간실격 (다자이 오사무,http://image.yes24.com/momo/TopCate0001/kepub/L_629221.jpg,다자이 오사무 저 / 이태란 역,AlbaLux
36916977,(한글) 주문이 많은 요리점 (일본 BEST 소설 총서 3,http://image.yes24.com/momo/TopCate0001/kepub/L_611842.jpg,미야자와 겐지 저 / 일본통문장번역회 역,AlbaLux
38290329,(한글) 첼리스트 고슈 (일본 BEST 소설 총서 8,http://image.yes24.com/momo/TopCate0001/kepub/L_629286.jpg,미야자와 겐지 저 /  일본통문장번역회 역,AlbaLux
38290330,(한글) 카이로 단장 (일본 BEST 소설 총서 9,http://image.yes24.com/momo/TopCate0001/kepub/L_629287.jpg,미야자와 겐지 저 /  일본통문장번역회 역,AlbaLux
38290335,(한글) 코 (일본 BEST 소설 총서 12,http://image.yes24.com/momo/TopCate0001/kepub/L_629291.jpg,아쿠타가와 류노스케 저 / 일본통문장번역회 역,AlbaLux
43885136,(한글+영문+오디오북) 피터 래빗 이야기,http://image.yes24.com/momo/TopCate0001/kepub/L_685375.jpg,베아트릭스 포터 저,오리진북스
89860692,.007 (영어로 세계문학읽기 96),http://image.yes24.com/goods/89860692/800x0,러디어드 키플링 저,책다름
84155957,0 영 ZERO 零,http://image.yes24.com/goods/84155957/800x0,김사과 저,작가정신
38868554,0(의 세계),http://image.yes24.com/momo/TopCate0001/kepub/L_632760.jpg,노선희 저,북랩
63828934,02 (영이),http://image.yes24.com/momo/TopCate0001/kepub/L_938253.jpg,김사과 저,창비
8927392,0시를 향하여,http://image.yes24.com/momo/TopCate0001/kepub/L_134247.jpg,애거서 크리스티 저,(주)민음인
11995840,0시를 향하여 ,http://image.yes24.com/momo/TopCate0001/kepub/L_201892.jpg,애거사 크리스티 저,황금가지
28340184,10 1/2장으로 쓴 세계 역사 - 열린책들 세계문학 104,http://image.yes24.com/momo/TopCate0001/kepub/L_486048.jpg,줄리언 반스 저,열린책들
6211925,100개의 거짓말과 1개의 진실,http://image.yes24.com/momo/TopCate0001/kepub/L_49698.jpg,이연철 저,u-paper(유페이퍼)
95336821,100개의 리드,http://image.yes24.com/goods/95336821/800x0,이홍 저,민음사
20317400,100층 탈출,http://image.yes24.com/momo/TopCate0001/kepub/L_369097.jpg,Dreamer 李 저,프로무림
90035086,100퍼센트의 여자아이를 만나던 날,http://image.yes24.com/goods/90035086/800x0,염경훈 저,하모닉스
90061167,100퍼센트의 여자아이를 만나던 날 1,http://image.yes24.com/goods/90061167/800x0,염경훈 저,하모닉스
90061169,100퍼센트의 여자아이를 만나던 날 2,http://image.yes24.com/goods/90061169/800x0,염경훈 저,하모닉스
90061170,100퍼센트의 여자아이를 만나던 날 3,http://image.yes24.com/goods/90061170/800x0,염경훈 저,하모닉스
8759998,1026,http://image.yes24.com/momo/TopCate0001/kepub/L_129094.jpg,김진명 저,새움
83034091,103 SIG,http://image.yes24.com/momo/TopCate0001/kepub/L_1105385.jpg,향암 이희관 저,유페이퍼
13828687,1030,http://image.yes24.com/momo/TopCate0001/kepub/L_235221.jpg,리 차일드 저,오픈하우스
8278050,"10개월, 종말이 오다",http://image.yes24.com/momo/TopCate0001/kepub/L_110816.jpg,박해로?|?최철진?|?최경빈?|?윤병현?|?진위명?|?원상이?|?김보람? 저,(주)민음인
27129826,10년 동안의 죽음,http://image.yes24.com/momo/TopCate0001/kepub/L_466665.jpg,곽기성 저,북랩
23361408,10대 애로가,http://image.yes24.com/momo/TopCate0001/kepub/L_391698.jpg,김상규 저,이페이지
42657708,10월에 피는 능금꽃,http://image.yes24.com/momo/TopCate0001/kepub/L_664835.jpg,이효석 저,친정나들이
56901215,10월에 피는 능금꽃,http://image.yes24.com/momo/TopCate0001/kepub/L_775522.jpg,이효석 저,도디드
8153143,11/22/63 1권,http://image.yes24.com/momo/TopCate0001/kepub/L_107790.jpg,스티븐 킹 저/이은선 역,황금가지
8153144,11/22/63 2권,http://image.yes24.com/momo/TopCate0001/kepub/L_107791.jpg,스티븐 킹 저/이은선 역,황금가지
66820471,11:59PM 밤의 시간,http://image.yes24.com/goods/66820471/800x0,김이은 저,답
63858385,11문자 살인사건 (개정판),http://image.yes24.com/goods/63858385/800x0,히가시노 게이고 저/민경욱 역,알에이치코리아(RHK)
5083175,11분,http://image.yes24.com/momo/TopCate0001/kepub/L_31906.jpg,파울로 코엘료 저/이상해 역,문학동네
8988531,12 28 32,http://image.yes24.com/momo/TopCate257/MidCate001/25609895.jpg,윤종열 저,좋은땅
90333681,128호실의 원고,http://image.yes24.com/goods/90333681/800x0,카티 보니당 저/안은주 역,한스미디어
30706054,12월 12일,http://image.yes24.com/momo/TopCate0001/kepub/L_519727.jpg,이상 저,u-paper(유페이퍼)
14759970,12월 12일,http://image.yes24.com/momo/TopCate0001/kepub/L_252879.jpg,이상 저,도디드
84938256,12월 12일,http://image.yes24.com/momo/TopCate0001/kepub/L_1118840.jpg,이상 저,다온길
7528665,12월 12일 (한국문학 Best),http://image.yes24.com/momo/TopCate0001/kepub/L_98890.jpg,이상 저,이프리북스
80480614,12월 26일의 크리스마스트리 외 단편집,http://image.yes24.com/goods/80480614/800x0,하백 저,e퍼플
69406432,12월 31일,http://image.yes24.com/goods/69406432/800x0,권여선 저,에브리북
64465026,12월12일,http://image.yes24.com/momo/TopCate0001/kepub/L_945662.jpg,이상 저,토지
78895582,12월12일(1) 한국 문학시리즈 이상작품,http://image.yes24.com/goods/78895582/800x0,이상 저,꿈꾸는 e
78895583,12월12일(2) 한국 문학시리즈 이상작품,http://image.yes24.com/goods/78895583/800x0,이상 저,꿈꾸는 e
78895584,12월12일(3) 한국 문학시리즈 이상작품,http://image.yes24.com/goods/78895584/800x0,이상 저,꿈꾸는 e
78895585,12월12일(4) 한국 문학시리즈 이상작품,http://image.yes24.com/goods/78895585/800x0,이상 저,꿈꾸는 e
78895586,12월12일(5) 한국 문학시리즈 이상작품,http://image.yes24.com/goods/78895586/800x0,이상 저,꿈꾸는 e
78895587,12월12일(6) 한국 문학시리즈 이상작품,http://image.yes24.com/goods/78895587/800x0,이상 저,꿈꾸는 e
78895588,12월12일(7) 한국 문학시리즈 이상작품,http://image.yes24.com/goods/78895588/800x0,이상 저,꿈꾸는 e
78895589,12월12일(8) 한국 문학시리즈 이상작품,http://image.yes24.com/goods/78895589/800x0,이상 저,꿈꾸는 e
86646644,12월의 어느 날,http://image.yes24.com/goods/86646644/800x0,조지 실버 저/이재경 역,arte(아르테)
78597634,13.9도 1권,http://image.yes24.com/goods/78597634/800x0,고단풍 저,다옴북스
78597633,13.9도 2권 (완결),http://image.yes24.com/goods/78597633/800x0,고단풍 저,다옴북스
9105015,13계단,http://image.yes24.com/momo/TopCate0001/kepub/L_137789.jpg,다카노 가즈아키 저/전새롬 역,황금가지
5331341,13번째 전사,http://image.yes24.com/momo/TopCate01/MidCate06/57893.jpg,마이클 크라이튼 저,큰나무
32997102,13시간,http://image.yes24.com/momo/TopCate0001/kepub/L_545555.jpg,디온 메이어 저 / 송섬별 역,아르테 누아르
59304269,13월의 천사,http://image.yes24.com/goods/59304269/800x0,시드니 셀던 저 / 정성호 역,오늘
60761082,13인당 이야기,http://image.yes24.com/goods/60761082/800x0,발자크 저/송기정 역,문학동네
28096334,13일 금요일의 저주,http://image.yes24.com/momo/TopCate0001/kepub/L_482444.jpg,조희전 저,키메이커
58075632,13일의 김남우 - 김동식 소설집 3,http://image.yes24.com/goods/58075632/800x0,김동식 저,요다
89595458,13페이지를 찾아라,http://image.yes24.com/goods/89595458/800x0,A. K. 그린 저,엔플래닛(Nplanet)
18075418,1598년 11월 19일,http://image.yes24.com/momo/TopCate501/MidCate008/50074411.jpg,장한성 저,행복에너지
71131101,15년간 - 일본 중단편 고전문학 053,http://image.yes24.com/goods/71131101/800x0,다자이 오사무 저,현인
6045049,15번 진짜 안 와,http://image.yes24.com/momo/TopCate0001/kepub/L_47597.jpg,박상 저,자음과모음(이룸)
92152839,15번의 토요일 오후,http://image.yes24.com/momo/TopCate0001/kepub/L_1220525.jpg,김수현김상식홍연주선정옥이종찬이루 저,부크크
61406604,15소년 표류기 1,http://image.yes24.com/goods/61406604/800x0,쥘 베른 저/김석희 역,열림원
61406605,15소년 표류기 2,http://image.yes24.com/goods/61406605/800x0,쥘 베른 저/김석희 역,열림원
12503067,16세기 러시아 문학,http://image.yes24.com/momo/TopCate0001/kepub/L_210659.jpg,막심 그렉 등저 / 조주관 역,지식을만드는지식(지만지)
16819711,17세기 러시아 문학,http://image.yes24.com/momo/TopCate0001/kepub/L_282814.jpg,아바쿰 페트로프 등저 / 조주관 역,지식을만드는지식(지만지)
16819712,17세기 러시아 풍자문학,http://image.yes24.com/momo/TopCate0001/kepub/L_282815.jpg,작자 미상 / 조주관 역,지식을만드는지식(지만지)
61329480,17원 50전,http://image.yes24.com/momo/TopCate0001/kepub/L_908144.jpg,나도향 저,토지
32613476,17원 50전,http://image.yes24.com/momo/TopCate0001/kepub/L_541484.jpg,나도향 저,한국전자출판협동조합
8681568,17원 50전,http://image.yes24.com/momo/TopCate0001/kepub/L_125543.jpg,나도향,u-paper(유페이퍼)
91916397,17원 50전,http://image.yes24.com/goods/91916397/800x0,나도향 저,포르투나
84767996,17원 50전,http://image.yes24.com/momo/TopCate0001/kepub/L_1112060.jpg,나도향 저,다온길
42749267,17원 50전 - 다시읽는 한국문학 추천도서 55,http://image.yes24.com/momo/TopCate0001/kepub/L_673573.jpg,나도향 저,붉은나무
90186448,17원 50전 - 하루 10분 소설 시리즈,http://image.yes24.com/goods/90186448/800x0,나도향 저,파란꿈
78565464,17층 아래의 나뭇잎 - 현기증,http://image.yes24.com/goods/78565464/800x0,박금산 저,에브리북
34765813,1831,http://image.yes24.com/momo/TopCate0001/kepub/L_581793.jpg,Daniel Lyan 저,페퍼민트
93536860,"18세, 바다로",http://image.yes24.com/goods/93536860/800x0,나카가미 겐지 저/김난주 역,무소의뿔
95606717,18세를 반납합니다,http://image.yes24.com/goods/95606717/800x0,김혜정 저,문학과지성사
12265759,18세상,http://image.yes24.com/momo/TopCate323/MidCate009/32284515.jpg,김성윤 저,북인더갭
4809071,19 29 39,http://image.yes24.com/momo/TopCate92/MidCate09/9189858.jpg,"정수현,김영은,최수영 저",소담출판사
74409911,1909년에서 온 연애의 아포리즘,http://image.yes24.com/momo/TopCate0001/kepub/L_1047487.jpg,아널드 홀테인 저,바른번역(왓북)
88440790,1915 1권,http://image.yes24.com/goods/88440790/800x0,이준태 저,도토리(Dotori)
88440793,1915 2권 (완결),http://image.yes24.com/goods/88440793/800x0,이준태 저,도토리(Dotori)
42764440,1931-1940 한국 명작소설 2,http://image.yes24.com/momo/TopCate0001/kepub/L_674232.jpg,"김유정,김정한,이상,이태준,이효석,주요섭,채만식,계용묵 저",애플북스
